iter	Passed	Remaining
557	1842	1459
558	1845	1456
559	1849	1452
560	1852	1449
561	1855	1445
562	1858	1442
563	1861	1439
564	1865	1435
565	1868	1432
566	1871	1429
567	1874	1425
568	1878	1422
569	1881	1419
570	1884	1415
571	1887	1412
572	1890	1408
573	1893	1405
574	1896	1402
575	1899	1398
576	1903	1395
577	1906	1391
578	1909	1388
579	1912	1385
580	1915	1381
581	1918	1378
582	1922	1374
583	1925	1371
584	1928	1368
585	1931	1364
586	1935	1361
587	1938	1358
588	1941	1354
589	1944	1351
590	1947	1347
591	1950	1344
592	1953	1340
593	1956	1337
594	1960	1334
595	1963	1330
596	1966	1327
597	1969	1323
598	1972	1320
599	1975	1317
600	1978	1313
601	1982	1310
602	1985	1307
603	1988	1303
604	1992	1300
605	1995	1297
606	1998	1293
607	2001	1290
608	2004	1287
609	2007	1283
610	2011	1280
611	2014	1277
612	2017	1273
613	2020	1270
614	2023	1266
615	2026	1263
616	2030	1260
617	2033	1256
618	2036	1253
619	2039	1250
620	2042	1246
621	2045	1243
622	2049	1239
623	2052	1236
624	2055	1233
625	2058	1229
626	2061	1226
627	2065	1223
628	2068	1220
629	2071	1216
630	2074	1213
631	2077	1209
632	2081	1206
633	2084	1203
634	2087	1200
635	2091	1196
636	2094	1193
637	2097	1190
638	2100	1186
639	2103	1183
640	2107	1180
641	2110	1176
642	2113	1173
643	2116	1170
644	2119	1166
645	2123	1163
646	2126	1160
647	2129	1156
648	2132	1153
649	2135	1149
650	2138	1146
651	2141	1143
652	2144	1139
653	2147	1136
654	2151	1132
655	2154	1129
656	2157	1126
657	2160	1122
658	2163	1119
659	2166	1116
660	2169	1112
661	2172	1109
662	2175	1106
663	2179	1102
664	2183	1100
665	2188	1097
666	2192	1094
667	2196	1091
668	2200	1088
669	2204	1085
670	2209	1083
671	2212	1079
672	2215	1076
673	2220	1073
674	2224	1070
675	2227	1067
676	2230	1064
677	2233	1060
678	2236	1057
679	2239	1054
680	2243	1050
681	2246	1047
682	2249	1044
683	2252	1040
684	2256	1037
685	2259	1034
686	2262	1030
687	2265	1027
688	2268	1024
689	2272	1020
690	2275	1017
691	2278	1014
692	2281	1010
693	2284	1007
694	2287	1003
695	2290	1000
696	2294	997
697	2297	993
698	2300	990
699	2303	987
700	2306	983
701	2309	980
702	2312	977
703	2315	973
704	2319	970
705	2322	967
706	2325	963
707	2328	960
708	2331	956
709	2334	953
710	2337	950
711	2340	946
712	2344	943
713	2346	940
714	2350	936
715	2353	933
716	2356	930
717	2359	926
718	2362	923
719	2366	920
720	2369	916
721	2372	913
722	2375	910
723	2379	906
724	2382	903
725	2385	900
726	2388	896
727	2391	893
728	2394	890
729	2398	887
730	2401	883
731	2405	880
732	2408	877
733	2411	873
734	2414	870
735	2417	867
736	2420	863
737	2423	860
738	2426	857
739	2430	853
740	2433	850
741	2436	847
742	2439	843
743	2442	840
744	2445	837
745	2448	833
746	2451	830
747	2455	827
748	2458	823
749	2461	820
750	2464	817
751	2467	813
752	2471	810
753	2474	807
754	2477	803
755	2480	800
756	2483	797
757	2487	794
758	2490	790
759	2493	787
760	2496	784
761	2500	780
762	2503	777
763	2506	774
764	2509	770
765	2512	767
766	2515	764
767	2518	760
768	2521	757
769	2525	754
770	2528	750
771	2531	747
772	2534	744
773	2537	740
774	2540	737
775	2543	734
776	2546	730
777	2550	727
778	2553	724
779	2556	721
780	2559	717
781	2562	714
782	2566	711
783	2569	707
784	2572	704
785	2576	701
786	2579	698
787	2582	694
788	2586	691
789	2589	688
790	2593	685
791	2596	681
792	2599	678
793	2602	675
794	2605	671
795	2608	668
796	2611	665
797	2614	661
798	2617	658
799	2621	655
800	2624	652
801	2627	648
802	2630	645
803	2634	642
804	2637	638
805	2640	635
806	2643	632
807	2646	628
808	2650	625
809	2653	622
810	2656	619
811	2660	615
812	2663	612
813	2666	609
814	2669	605
815	2672	602
816	2675	599
817	2678	595
818	2681	592
819	2685	589
820	2688	586
821	2691	582
822	2695	579
823	2698	576
824	2701	573
825	2705	569
826	2708	566
827	2711	563
828	2714	559
829	2717	556
830	2721	553
831	2724	550
832	2727	546
833	2730	543
834	2733	540
835	2736	536
836	2739	533
837	2742	530
838	2746	526
839	2749	523
840	2752	520
841	2755	517
842	2758	513
843	2761	510
844	2765	507
845	2768	503
846	2771	500
847	2774	497
848	2778	494
849	2781	490
850	2784	487
851	2787	484
852	2790	480
853	2793	477
854	2797	474
855	2800	471
856	2803	467
857	2806	464
858	2809	461
859	2812	457
860	2815	454
861	2819	451
862	2822	448
863	2825	444
864	2828	441
865	2832	438
866	2835	434
867	2838	431
868	2841	428
869	2844	425
870	2847	421
871	2850	418
872	2853	415
873	2857	411
874	2860	408
875	2863	405
876	2867	402
877	2870	398
878	2874	395
879	2877	392
880	2880	389
881	2883	385
882	2886	382
883	2889	379
884	2892	375
885	2896	372
886	2899	369
887	2902	366
888	2906	362
889	2909	359
890	2912	356
891	2915	353
892	2918	349
893	2922	346
894	2925	343
895	2928	339
896	2931	336
897	2934	333
898	2937	330
899	2940	326
900	2944	323
901	2947	320
902	2950	316
903	2953	313
904	2956	310
905	2959	307
906	2963	303
907	2966	300
908	2970	297
909	2973	294
910	2976	290
911	2980	287
912	2983	284
913	2986	280
914	2989	277
915	2992	274
916	2995	271
917	2999	267
918	3002	264
919	3005	261
920	3009	258
921	3012	254
922	3015	251
923	3018	248
924	3021	245
925	3024	241
926	3027	238
927	3031	235
928	3034	231
929	3037	228
930	3040	225
931	3043	222
932	3047	218
933	3050	215
934	3053	212
935	3056	209
936	3059	205
937	3063	202
938	3066	199
939	3069	195
940	3072	192
941	3075	189
942	3079	186
943	3082	182
944	3085	179
945	3088	176
946	3092	173
947	3095	169
948	3099	166
949	3102	163
950	3105	159
951	3108	156
952	3111	153
953	3114	150
954	3117	146
955	3120	143
956	3123	140
957	3127	137
958	3130	133
959	3133	130
960	3136	127
961	3139	124
962	3143	120
963	3146	117
964	3149	114
965	3153	110
966	3156	107
967	3159	104
968	3163	101
969	3166	97
970	3169	94
971	3172	91
972	3175	88
973	3178	84
974	3181	81
975	3185	78
976	3188	75
977	3192	71
978	3195	68
979	3198	65
980	3201	62
981	3204	58
982	3207	55
983	3210	52
984	3213	48
985	3217	45
986	3220	42
987	3223	39
988	3227	35
989	3230	32
990	3233	29
991	3236	26
992	3240	22
993	3243	19
994	3246	16
995	3249	13
996	3253	9
997	3256	6
998	3259	3
999	3262	0
